"id","age_group","sentence","n_letters","trialtime","error_percent","backspaces"
104,"young",19,12,2938,0,0
104,"young",20,22,8241,0,2
104,"young",21,22,10375,0,4
104,"young",22,17,8674,0,4
104,"young",23,21,7615,0,2
104,"young",24,11,3190,0,1
104,"young",25,22,7591,0,1
104,"young",26,23,7948,0,3
104,"young",27,18,4593,0,0
104,"young",28,16,6307,0,3
104,"young",29,12,6623,0,3
104,"young",30,20,6979,0,2
104,"young",31,21,5580,0,0
104,"young",32,22,5144,0,0
104,"young",33,23,8269,0,2
104,"young",34,18,5812,0,1
104,"young",35,12,2577,0,0
104,"young",36,19,4198,0,0
104,"young",37,14,5164,0,2
104,"young",38,10,7041,0,8
104,"young",39,18,3680,0,0
104,"young",40,11,1982,0,0
104,"young",41,15,6954,0,3
104,"young",42,15,4506,0,0
104,"young",43,21,5438,0,0
104,"young",44,17,4024,0,0
104,"young",45,20,4936,0,0
104,"young",46,21,11418,0,6
104,"young",47,22,6949,0,2
104,"young",48,21,5453,0,1
104,"young",49,18,5655,0,3
104,"young",50,18,5344,0,0
105,"young",1,19,6277,0,1
105,"young",2,18,6074,0,0
105,"young",3,15,8405,0,3
105,"young",4,19,5672,0,0
105,"young",5,13,4723,0,0
105,"young",6,13,5326,0,1
105,"young",7,21,9133,0,1
105,"young",8,20,6300,0,0
105,"young",9,18,5734,0,0
105,"young",10,12,5099,0,0
105,"young",11,14,4730,0,0
105,"young",12,24,7461,0,0
105,"young",13,18,5352,0,0
105,"young",14,19,6427,0,0
105,"young",15,19,8619,0,3
105,"young",16,11,2447,0,0
105,"young",17,22,8697,0,1
105,"young",18,24,9562,0,1
105,"young",19,12,9926,0,2
105,"young",20,22,6697,0,0
105,"young",21,22,18374,0,15
105,"young",22,17,5472,0,0
105,"young",23,21,10119,0,3
105,"young",24,11,4163,0,1
105,"young",25,22,9624,0,3
105,"young",26,23,7139,0,0
105,"young",27,18,4881,0,0
105,"young",28,16,4510,0,0
105,"young",29,12,4072,0,0
105,"young",30,20,6554,0,0
105,"young",31,21,6924,0,0
105,"young",32,22,8952,0,1
105,"young",33,23,7620,0,0
105,"young",34,18,6350,0,0
105,"young",35,12,3049,0,0
105,"young",36,19,5736,0,0
105,"young",37,14,5635,0,2
105,"young",38,10,5558,0,3
105,"young",39,18,5763,0,0
105,"young",40,11,7252,0,3
105,"young",41,15,6766,0,2
105,"young",42,15,4747,0,0
105,"young",43,21,9281,0,0
105,"young",44,17,8745,0,2
105,"young",45,20,7373,0,1
105,"young",46,21,7277,0,1
105,"young",47,22,7222,0,0
105,"young",48,21,6102,0,0
105,"young",49,18,4868,0,0
105,"young",50,18,7779,0.0555555555555556,0
106,"young",1,19,5481,0,0
106,"young",2,18,6339,0,0
106,"young",3,15,4829,0,0
106,"young",4,19,5882,0,0
106,"young",5,13,4585,0,0
106,"young",6,13,4348,0,0
106,"young",7,21,7136,0,0
106,"young",8,20,6822,0,0
106,"young",9,18,6324,0,0
106,"young",10,12,3968,0,0
106,"young",11,14,5386,0,1
106,"young",12,24,7552,0,0
106,"young",13,18,5625,0,0
106,"young",14,19,6421,0,0
106,"young",15,19,5597,0,0
106,"young",16,11,3320,0,0
106,"young",17,22,9269,0,1
106,"young",18,24,7831,0,0
106,"young",19,12,3222,0,0
106,"young",20,22,7265,0,0
106,"young",21,22,7080,0,0
106,"young",22,17,6214,0,0
106,"young",23,21,8195,0,2
106,"young",24,11,2787,0,0
106,"young",25,22,7376,0,0
106,"young",26,23,7552,0,0
106,"young",27,18,5303,0,0
106,"young",28,16,4893,0,0
106,"young",29,12,3298,0,0
106,"young",30,20,7139,0,0
106,"young",31,21,6929,0,0
106,"young",32,22,7569,0,0
106,"young",33,23,6188,0.0434782608695652,0
106,"young",34,18,6901,0,0
106,"young",35,12,3404,0,0
106,"young",36,19,5885,0,0
106,"young",37,14,6621,0,4
106,"young",38,10,2940,0,0
106,"young",39,18,7668,0,2
106,"young",40,11,2872,0,0
106,"young",41,15,4806,0,0
106,"young",42,15,5016,0,0
106,"young",43,21,11075,0,5
106,"young",44,17,9386,0,4
106,"young",45,20,7590,0,1
106,"young",46,21,7321,0,0
106,"young",47,22,7164,0,0
106,"young",48,21,6930,0,0
106,"young",49,18,6157,0,1
106,"young",50,18,6354,0,0
107,"young",1,19,5677,0,0
107,"young",2,18,6673,0,0
107,"young",3,15,5956,0,0
107,"young",4,19,5898,0,0
107,"young",5,13,4159,0,0
107,"young",6,13,5228,0,0
107,"young",7,21,8710,0,1
107,"young",8,20,6586,0,0
107,"young",9,18,5858,0,0
107,"young",10,12,3465,0,0
107,"young",11,14,3673,0,0
107,"young",12,24,11421,0,5
107,"young",13,18,5438,0.0555555555555556,0
107,"young",14,19,5816,0,0
107,"young",15,19,5493,0,0
107,"young",16,11,2618,0,0
107,"young",17,22,6791,0,0
107,"young",18,24,7435,0,0
107,"young",19,12,4075,0,0
107,"young",20,22,7578,0,1
107,"young",21,22,7327,0,0
107,"young",22,17,5466,0,0
107,"young",23,21,6498,0,0
107,"young",24,11,2847,0,0
107,"young",25,22,7572,0,0
107,"young",26,23,8459,0,0
107,"young",27,18,6741,0,1
107,"young",28,16,5090,0,0
107,"young",29,12,4464,0,0
107,"young",30,20,5848,0,0
107,"young",31,21,7116,0,0
107,"young",32,22,6692,0,0
107,"young",33,23,9822,0.0434782608695652,3
107,"young",34,18,6100,0,0
107,"young",35,12,3089,0,0
107,"young",36,19,18266,0,15
107,"young",37,14,3981,0,0
107,"young",38,10,3870,0,0
107,"young",39,18,9916,0,4
107,"young",40,11,2735,0,0
107,"young",41,15,5978,0,0
107,"young",42,15,4730,0,0
107,"young",43,21,8665,0,0
107,"young",44,17,6468,0,0
107,"young",45,20,6804,0,0
107,"young",46,21,9670,0.0476190476190476,5
107,"young",47,22,7087,0,0
107,"young",48,21,7141,0,0
107,"young",49,18,4768,0,0
107,"young",50,18,9337,0,5
108,"young",1,19,8386,0,2
108,"young",2,18,13335,0,5
108,"young",3,15,8545,0,3
108,"young",4,19,8101,0,0
108,"young",5,13,7635,0,4
108,"young",6,13,6614,0,1
108,"young",7,21,13079,0,4
108,"young",8,20,9705,0,4
108,"young",9,18,6584,0,0
108,"young",10,12,10857,0,8
108,"young",11,14,21942,0.0714285714285714,0
108,"young",12,24,13125,0,7
108,"young",13,18,11921,0,5
108,"young",14,19,17187,0,12
108,"young",15,19,11011,0,3
108,"young",16,11,2875,0,0
108,"young",17,22,9463,0,1
108,"young",18,24,23974,0,14
108,"young",19,12,3317,0,0
108,"young",20,22,8461,0,0
108,"young",21,22,8798,0,0
108,"young",22,17,10425,0,6
108,"young",23,21,9060,0,3
108,"young",24,11,8128,0,6
108,"young",25,22,16851,0,9
108,"young",26,23,14125,0,9
108,"young",27,18,11157,0,6
108,"young",28,16,8239,0,2
108,"young",29,12,9408,0,5
108,"young",30,20,20706,0,18
108,"young",31,21,10715,0,7
108,"young",32,22,9734,0,0
108,"young",33,23,13416,0,8
108,"young",34,18,7086,0,0
108,"young",35,12,6950,0,4
108,"young",36,19,10478,0,10
108,"young",37,14,4311,0,0
108,"young",38,10,2909,0,0
108,"young",39,18,10461,0,6
108,"young",40,11,8306,0,7
108,"young",41,15,10555,0,6
108,"young",42,15,9566,0,4
108,"young",43,21,8747,0,0
108,"young",44,17,7685,0,2
108,"young",45,20,12060,0,6
108,"young",46,21,14904,0,5
108,"young",47,22,9063,0,1
108,"young",48,21,11437,0,5
108,"young",49,18,10799,0,10
108,"young",50,18,6641,0,0
110,"young",34,18,5909,0,0
110,"young",47,22,8214,0,1
111,"young",1,19,5026,0,0
111,"young",2,18,5642,0,0
111,"young",4,19,7107,0,2
111,"young",5,13,6684,0,3
111,"young",6,13,5089,0,1
111,"young",7,21,11147,0,7
111,"young",8,20,4554,0,0
111,"young",9,18,8062,0,1
111,"young",12,24,6265,0,0
111,"young",13,18,4660,0,0
111,"young",14,19,7822,0,3
111,"young",15,19,6242,0,0
111,"young",16,11,4843,0,3
111,"young",18,24,7994,0,1
111,"young",20,22,9495,0,2
111,"young",21,22,6707,0,0
111,"young",22,17,4384,0,0
111,"young",23,21,5652,0,0
111,"young",24,11,2666,0,0
111,"young",25,22,8114,0.0454545454545455,1
111,"young",26,23,5901,0,0
111,"young",27,18,5026,0,0
111,"young",28,16,3734,0,0
111,"young",29,12,3959,0,0
111,"young",31,21,5316,0,0
111,"young",32,22,6325,0,0
111,"young",33,23,10231,0.0434782608695652,3
111,"young",34,18,8674,0,4
111,"young",36,19,7154,0,3
111,"young",38,10,6641,0.1,8
111,"young",39,18,6849,0,4
111,"young",40,11,2200,0,0
111,"young",41,15,7830,0.0666666666666667,3
111,"young",46,21,8064,0,5
111,"young",48,21,7195,0,1
111,"young",49,18,5826,0,2
